Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"39,181,901","31,535,229","70,717,130"
2002,11,"36,462,419","28,497,161","64,959,580"
2002,12,"41,534,214","31,761,398","73,295,612"
2002,TOTAL,"471,652,206","380,094,028","851,746,234"
2003,1,"36,358,651","31,073,669","67,432,321"
2003,2,"34,247,719","25,641,421","59,889,139"
2003,3,"41,865,854","29,168,113","71,033,967"
2003,4,"39,549,846","24,928,857","64,478,703"
2003,5,"41,091,762","27,281,899","68,373,662"
2003,6,"44,599,070","32,681,850","77,280,920"
2003,7,"48,452,610","36,104,185","84,556,795"
2003,8,"47,123,247","37,025,432","84,148,678"
2003,9,"36,939,888","31,790,663","68,730,552"
2003,10,"41,628,326","31,611,236","73,239,562"
2003,11,"39,442,947","30,067,676","69,510,623"
2003,12,"42,872,536","32,699,100","75,571,636"
2003,TOTAL,"494,172,457","370,074,101","864,246,558"
2004,1,"38,276,856","32,334,448","70,611,303"
2004,2,"38,683,431","28,252,962","66,936,393"
2004,3,"46,622,668","33,777,670","80,400,338"
2004,4,"45,917,945","33,410,741","79,328,686"
2004,5,"45,530,805","35,320,173","80,850,978"
2004,6,"49,972,089","39,186,332","89,158,421"
2004,7,"52,903,632","41,730,295","94,633,928"
2004,8,"50,965,647","40,901,898","91,867,545"
2004,9,"40,756,322","35,057,874","75,814,196"
2004,10,"45,915,851","34,900,706","80,816,557"
2004,11,"43,680,597","31,722,978","75,403,575"
2004,12,"45,347,329","34,614,044","79,961,373"
2004,TOTAL,"544,573,171","421,210,122","965,783,293"
2005,1,"41,779,606","35,241,530","77,021,137"
2005,2,"40,236,178","29,859,767","70,095,945"
2005,3,"50,944,708","37,691,840","88,636,547"
2005,4,"47,136,857","35,706,768","82,843,625"
2005,5,"49,162,684","38,930,439","88,093,123"
2005,6,"52,354,482","42,030,746","94,385,228"
2005,7,"55,422,071","44,797,362","100,219,433"
2005,8,"52,625,551","43,058,837","95,684,389"
2005,9,"43,616,878","37,679,351","81,296,229"
2005,10,"46,024,350","36,476,820","82,501,169"
2005,11,"45,212,923","33,445,297","78,658,220"
2005,12,"46,338,334","36,467,011","82,805,345"
2005,TOTAL,"570,854,623","451,385,768","1,022,240,392"
2006,1,"43,166,268","36,290,080","79,456,349"
2006,2,"41,045,714","30,511,114","71,556,829"
2006,3,"50,861,070","38,483,374","89,344,443"
2006,4,"48,970,823","38,629,246","87,600,069"
2006,5,"49,471,171","40,313,211","89,784,382"
2006,6,"52,407,699","44,155,524","96,563,223"
2006,7,"54,631,751","46,778,981","101,410,732"
2006,8,"52,197,036","44,598,035","96,795,072"
2006,9,"43,213,537","40,814,721","84,028,258"
2006,10,"47,299,014","37,921,387","85,220,400"
2006,11,"46,103,744","35,282,187","81,385,931"
2006,12,"47,077,616","38,227,457","85,305,073"
2006,TOTAL,"576,445,444","472,005,316","1,048,450,760"
2007,1,"44,045,814","37,668,092","81,713,906"
2007,2,"41,449,353","32,073,109","73,522,462"
2007,3,"51,717,576","40,612,837","92,330,413"
2007,4,"49,958,381","39,641,808","89,600,189"
2007,5,"51,243,438","41,796,140","93,039,578"
2007,6,"54,265,293","45,855,136","100,120,428"
2007,7,"56,789,987","48,864,024","105,654,011"
2007,8,"55,839,194","48,036,698","103,875,892"
2007,9,"45,361,209","41,629,446","86,990,655"
2007,10,"49,180,923","41,038,448","90,219,371"
2007,11,"47,436,934","37,997,278","85,434,212"
2007,12,"47,318,180","40,875,433","88,193,613"
2007,TOTAL,"594,606,281","496,088,449","1,090,694,729"
2008,1,"44,458,741","40,185,903","84,644,644"
2008,2,"43,582,604","35,042,639","78,625,243"
2008,3,"52,195,384","42,832,802","95,028,186"
2008,4,"48,257,762","40,818,614","89,076,376"
2008,5,"50,473,432","43,937,383","94,410,815"
2008,6,"52,712,761","46,959,330","99,672,091"
2008,7,"54,757,833","49,358,622","104,116,456"
2008,8,"52,763,364","49,068,198","101,831,562"
2008,9,"41,113,891","40,202,787","81,316,678"
2008,10,"45,078,486","39,764,941","84,843,427"
2008,11,"40,712,277","35,867,148","76,579,425"
2008,12,"44,043,260","39,017,525","83,060,786"
2008,TOTAL,"570,149,796","503,055,893","1,073,205,689"
2009,1,"39,468,411","37,606,334","77,074,745"
2009,2,"37,753,849","30,861,221","68,615,070"
2009,3,"46,637,575","37,658,969","84,296,544"
2009,4,"45,536,212","39,213,659","84,749,872"
2009,5,"46,124,290","39,580,101","85,704,391"
2009,6,"49,457,299","43,605,787","93,063,086"
2009,7,"52,824,154","48,376,993","101,201,148"
2009,8,"50,545,162","48,436,014","98,981,175"
2009,9,"41,740,289","40,079,656","81,819,945"
2009,10,"44,956,606","40,089,438","85,046,044"
2009,11,"41,711,288","35,532,693","77,243,982"
