Year,Type,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,Fatal,2939,2597,2877,3026,3438,3329,3499,3603,3254,3449,3145,3288,38444
2005,Fatal,2817,2618,2885,3239,3318,3381,3761,3501,3424,3631,3436,3241,39252
2006,Fatal,2931,2695,3042,3138,3345,3383,3527,3474,3348,3462,3168,3135,38648
2007,Fatal,2732,2618,3092,3041,3312,3281,3460,3325,3235,3325,3066,2948,37435
2008,Fatal,2575,2586,2549,2722,2887,3029,3018,3224,2860,3063,2829,2830,34172
2009,Fatal,2377,2167,2349,2592,2780,2750,2787,2865,2650,2622,2512,2411,30862
2004,Injury only,146514,143531,153775,150159,160043,157160,154697,156825,155541,161871,157861,163641,1861617
2005,Injury only,144729,136802,156026,151798,159949,158124,153022,158751,151567,152050,141436,151851,1816105
2006,Injury only,147436,133891,140562,142391,148030,144548,138235,142457,142256,165041,150059,151016,1745924
2007,Injury only,136173,134597,142221,137741,148614,148120,141933,140750,138291,153732,144637,144495,1711304
2008,Injury only,135726,141095,132145,134915,148460,137213,127895,130011,131247,137223,134368,140121,1630420
2009,Injury only,132626,109225,128921,122714,139405,124743,131670,127292,122371,131126,116484,130497,1517075
2004,property damage,412860,332012,335870,320238,335051,342461,333009,324677,336680,375350,398739,434019,4280966
2005,property damage,381005,345180,352552,330754,339448,337093,329774,335374,329377,373662,405643,444130,4303993
2006,property damage,356145,324574,335224,320758,352151,327784,313609,331285,346016,393549,400284,387264,4188641
2007,property damage,384771,361125,358010,329699,330635,335695,317107,341488,318696,385096,383758,429187,4275269
2008,property damage,372715,397402,345417,314610,327583,313665,298889,308521,302589,358747,372529,433587,4146254
2009,property damage,404279,317393,308388,292700,327553,309998,288665,308286,306236,354317,347170,392258,3957243
